,E,sigma,E_err,sigma_err
0,40.0,1.491813248320688,10.0,0.21802245086090577
1,75.0,1.075443124575691,25.0,0.02939715970818302
2,125.0,0.34696925116956534,25.0,0.010593089301806413
3,175.0,0.19317848014196715,25.0,0.005254144091450863
4,225.0,0.12719978167006554,25.0,0.004201205060767203
5,275.0,0.11563680624520398,25.0,0.007387816582625578
6,325.0,0.08012144842959071,25.0,0.004144539697390641
7,375.0,0.07577791550629309,25.0,0.003638521438257089
8,425.0,0.05867830542456832,25.0,0.003036030212632969
9,475.0,0.05087596902060812,25.0,0.0025445460599934078
10,525.0,0.047304238063780236,25.0,0.0023702733785392824
11,575.0,0.045815833235571604,25.0,0.0022550192840559077
12,625.0,0.04649722442552523,25.0,0.0021685930818766096
13,675.0,0.03848314292881028,25.0,0.001897336174345312
14,725.0,0.03357959651349085,25.0,0.0019605806896339888
15,775.0,0.032771529756061235,25.0,0.0015640503554913057
