,E,sigma,E_err,sigma_err
0,40.0,0.7142117725892771,10.0,0.035541796546179116
1,75.0,0.8281760551805443,25.0,0.023730668994916715
2,125.0,0.3025441927727853,25.0,0.00984214043840087
3,175.0,0.16950769234504579,25.0,0.0050339225548728245
4,225.0,0.11128110707288272,25.0,0.003862715778107477
5,275.0,0.08717597925005648,25.0,0.008806796192630563
6,325.0,0.06352947203581683,25.0,0.0040837695064317205
7,375.0,0.052601560972916094,25.0,0.0024313419436614095
8,425.0,0.04312775184091617,25.0,0.0022870016153395227
9,475.0,0.040443253364858586,25.0,0.0025592357597781293
10,525.0,0.036956843067347575,25.0,0.0019553893038979885
11,575.0,0.02905737792249952,25.0,0.001434758152562391
12,625.0,0.02432659662532173,25.0,0.0013313669319284793
13,675.0,0.028080223501389067,25.0,0.0015181635711977656
14,725.0,0.023999265271561956,25.0,0.0012999691827719016
15,775.0,0.023083540114950757,25.0,0.0015329092209727599
