,E,sigma,E_err,sigma_err
0,40.0,1.0269234982329762,10.0,0.04975133582159147
1,75.0,0.8055209732019756,25.0,0.021764468596514264
2,125.0,0.3029881193513271,25.0,0.008301608415719669
3,175.0,0.18133207244111188,25.0,0.005636580193267876
4,225.0,0.13768500403793696,25.0,0.005006033335992671
5,275.0,0.11905333931293333,25.0,0.006286509477385092
6,325.0,0.10883477076112863,25.0,0.005230650734249373
7,375.0,0.10065395743389087,25.0,0.0074924975061587615
8,425.0,0.0931727450754248,25.0,0.004658090206570105
9,475.0,0.07798059990622123,25.0,0.004587664191933898
10,525.0,0.07568701377342905,25.0,0.004424398960239981
11,575.0,0.06535004388219727,25.0,0.0033505220340713064
12,625.0,0.06333182137074599,25.0,0.005234043642838075
13,675.0,0.06725461172319148,25.0,0.003623236870897259
14,725.0,0.052251820791656786,25.0,0.003185428606192038
15,775.0,0.048460102769223024,25.0,0.0025904796973392416
