,E,sigma,E_err,sigma_err
0,40.0,1.8496309406443157,10.0,0.18707716689267262
1,75.0,1.0619522245086266,25.0,0.026299915409765284
2,125.0,0.34210779296928734,25.0,0.008363197369682634
3,175.0,0.18288510269364913,25.0,0.005040236636171258
4,225.0,0.12693297934942907,25.0,0.004029010542698941
5,275.0,0.12605817964308116,25.0,0.007148679003443688
6,325.0,0.09021157858387738,25.0,0.004204060437071083
7,375.0,0.0730317684439369,25.0,0.0036234210426557556
8,425.0,0.06456959562748117,25.0,0.002652642315985925
9,475.0,0.055392285047187025,25.0,0.002333919241564786
10,525.0,0.045544640087683955,25.0,0.0022164045154724338
11,575.0,0.048034443564142326,25.0,0.0024799121741376044
12,625.0,0.04528339163626308,25.0,0.002113722376452385
13,675.0,0.03769876883564135,25.0,0.00205403241042907
14,725.0,0.03545338117631853,25.0,0.001869249927756101
15,775.0,0.03386738802007871,25.0,0.0013426804599526616
