,E,sigma,E_err,sigma_err
0,40.0,0.27831879463797776,10.0,0.007223039718986135
1,75.0,0.14071507491488422,25.0,0.002871632965886828
2,125.0,0.08691074572430808,25.0,0.001775516420194169
3,175.0,0.05977437746120142,25.0,0.001599779582094514
4,225.0,0.05072236600217688,25.0,0.0025779446737912333
5,275.0,0.053084543977535245,25.0,0.0032464645842052477
6,325.0,0.046525627457443534,25.0,0.002751129853122293
7,375.0,0.03713052874197341,25.0,0.0018602574459902592
8,425.0,0.04060702529735466,25.0,0.0021019319594199684
9,475.0,0.026286898978829402,25.0,0.0012817359423564784
10,525.0,0.03220907229277941,25.0,0.0018386763948505958
11,575.0,0.030405689424816484,25.0,0.0017002243747119422
12,625.0,0.02496306677763889,25.0,0.0014090308714756125
13,675.0,0.02493707075093273,25.0,0.0016588035821550103
14,725.0,0.023306782271721803,25.0,0.0013373890446265174
15,775.0,0.020132857198963988,25.0,0.001244111810181697
