,E,sigma,E_err,sigma_err
0,40.0,0.2750647369996619,10.0,0.00821475655260831
1,75.0,0.13638137202927023,25.0,0.0030879528117000454
2,125.0,0.08491971197660553,25.0,0.0018879274105265964
3,175.0,0.05685048632300374,25.0,0.0016087117759517808
4,225.0,0.04967549125636301,25.0,0.0027713072568698906
5,275.0,0.050781461561953734,25.0,0.0030887409375508837
6,325.0,0.04312013578899977,25.0,0.002742080918659781
7,375.0,0.036151894805779634,25.0,0.0018981161914167557
8,425.0,0.039857568330491915,25.0,0.00218821820131411
9,475.0,0.025583949486251478,25.0,0.0012819116955836117
10,525.0,0.03135262865721562,25.0,0.001992795244917812
11,575.0,0.030162973067557327,25.0,0.0019476570997357182
12,625.0,0.02480790893922211,25.0,0.001481908317687861
13,675.0,0.023582563017586208,25.0,0.001529517443973295
14,725.0,0.021768837358297665,25.0,0.001200869483101094
15,775.0,0.020131721289258556,25.0,0.001349214980374205
