,E,sigma,E_err,sigma_err
0,40.0,0.11474275998300039,10.0,0.005264308272334324
1,75.0,0.058289702389391115,25.0,0.0018189565940938332
2,125.0,0.035553629694507566,25.0,0.0012813852019129823
3,175.0,0.028975582570615433,25.0,0.0011477855077539085
4,225.0,0.018984253939149272,25.0,0.001082708222552027
5,275.0,0.015004103468368614,25.0,0.0009568966433722934
6,325.0,0.013861937823310699,25.0,0.0008041201495643845
7,375.0,0.014440904345541898,25.0,0.0007461298311381851
8,425.0,0.019432307191882353,25.0,0.0009432329217975675
9,475.0,0.010854750457353497,25.0,0.0006252081234444156
10,525.0,0.011193810591117665,25.0,0.0007090722652933236
11,575.0,0.00954403038355746,25.0,0.0005002882021521958
12,625.0,0.008691907429785687,25.0,0.00048148703665461604
13,675.0,0.008903895353893583,25.0,0.0005554030573746522
14,725.0,0.007994071705430835,25.0,0.000505654528089588
15,775.0,0.007643228011757546,25.0,0.000420096153452852
