,E,sigma,E_err,sigma_err
0,40.0,0.34838655974100097,10.0,0.011229495671001344
1,75.0,0.18613974793692475,25.0,0.003999557115566779
2,125.0,0.12034689837965504,25.0,0.002481126172727728
3,175.0,0.0879748446932325,25.0,0.002892836986959746
4,225.0,0.08332076823151868,25.0,0.004733254337935609
5,275.0,0.08529713463445057,25.0,0.004164692664698544
6,325.0,0.07845821988073007,25.0,0.004947474272722352
7,375.0,0.0678059692958833,25.0,0.003980490884216134
8,425.0,0.06059044896712754,25.0,0.004039086483668155
9,475.0,0.0649464366894307,25.0,0.0037475039744059233
10,525.0,0.05361423778932206,25.0,0.002892047502942186
11,575.0,0.057584784603360764,25.0,0.004060199648762294
12,625.0,0.05569527089597122,25.0,0.0041487047459588915
13,675.0,0.048697663017389974,25.0,0.002466287823348269
14,725.0,0.04483256063537958,25.0,0.0028034986389080946
15,775.0,0.025017459916227485,25.0,0.002094327479164153
