,E,sigma,E_err,sigma_err
0,40.0,0.7763783764261692,10.0,0.04500642381211323
1,75.0,1.0819833999216921,25.0,0.038483271725784474
2,125.0,0.303269572817696,25.0,0.010301541701534661
3,175.0,0.173983362505527,25.0,0.0050901615419401275
4,225.0,0.11665224985507601,25.0,0.00435601053007216
5,275.0,0.09229963690687788,25.0,0.006090116273830715
6,325.0,0.06389269871592701,25.0,0.004080736575616296
7,375.0,0.04815046233934672,25.0,0.0029846144493424834
8,425.0,0.04291143567332476,25.0,0.0023590103714385413
9,475.0,0.04333175164013397,25.0,0.002635681125563713
10,525.0,0.03602871979618869,25.0,0.0019038809098085377
11,575.0,0.028204610296905044,25.0,0.001982431487851285
12,625.0,0.028003019272023092,25.0,0.0016149990636916411
13,675.0,0.025482905955197425,25.0,0.0012675292869015597
14,725.0,0.026083248187984666,25.0,0.0014267966476025577
15,775.0,0.02407403634681356,25.0,0.0016884001183142
