,E,sigma,E_err,sigma_err
0,40.0,0.11500527302253703,10.0,0.0052735757451486745
1,75.0,0.058294453450535084,25.0,0.0018455674384085206
2,125.0,0.03550036468445903,25.0,0.001290318722989913
3,175.0,0.029022007425292144,25.0,0.0011593046451685452
4,225.0,0.018984253939149272,25.0,0.001082708222552027
5,275.0,0.01502739983076635,25.0,0.0009593544379070274
6,325.0,0.013861937823310699,25.0,0.0008041201495643845
7,375.0,0.014404612569815208,25.0,0.0007506438736376653
8,425.0,0.019489701983145237,25.0,0.000942538413936142
9,475.0,0.0109145695772178,25.0,0.0006277422918044189
10,525.0,0.011247574932037822,25.0,0.0007124852277096321
11,575.0,0.009159055989920221,25.0,0.0004849433086066453
12,625.0,0.008620894052183468,25.0,0.0004965071066907788
13,675.0,0.008903895353893583,25.0,0.0005554030573746522
14,725.0,0.008086222322999926,25.0,0.0005087449471250275
15,775.0,0.007643228011757546,25.0,0.000420096153452852
