,E,sigma,E_err,sigma_err
0,40.0,0.7907691616149143,10.0,0.022233808366239227
1,75.0,0.42846204702138063,25.0,0.015917654860667263
2,125.0,0.22433957389211062,25.0,0.006557339115256106
3,175.0,0.16525159463096356,25.0,0.004422675942270679
4,225.0,0.13311890138893456,25.0,0.0035218342028611738
5,275.0,0.11895522074684114,25.0,0.00567042297453188
6,325.0,0.10249577380233649,25.0,0.004933583543715314
7,375.0,0.09558767520119546,25.0,0.003659411056305968
8,425.0,0.08742063217107993,25.0,0.003200363743551808
9,475.0,0.07760054406864028,25.0,0.004311089032000927
10,525.0,0.05569088959772854,25.0,0.0028326115803002233
11,575.0,0.04687572473705833,25.0,0.0022294810067966346
12,625.0,0.041945800575040805,25.0,0.002225522326410448
13,675.0,0.04612427140539299,25.0,0.0022992757938602552
14,725.0,0.0405638502762939,25.0,0.0018030522230175101
15,775.0,0.03832071361157197,25.0,0.0017051391873413521
