,E,sigma,E_err,sigma_err
0,40.0,0.6480517565016547,10.0,0.01776132776431688
1,75.0,0.3840716375265398,25.0,0.012841498681741337
2,125.0,0.19816553990001068,25.0,0.00758616896613476
3,175.0,0.1530497323611791,25.0,0.004798480813969955
4,225.0,0.10497939817769711,25.0,0.0037614255302933983
5,275.0,0.07482563588328478,25.0,0.005017829288671914
6,325.0,0.06882357262942172,25.0,0.0035631784710511843
7,375.0,0.05207558406792374,25.0,0.004434238167590664
8,425.0,0.03813105604158447,25.0,0.0018371661425387494
9,475.0,0.04000456843052005,25.0,0.002282828702214152
10,525.0,0.034880874950948826,25.0,0.0027652734465917206
11,575.0,0.031232591719867617,25.0,0.002112009961153384
12,625.0,0.026454819672368738,25.0,0.001921222786237237
13,675.0,0.026792311209750203,25.0,0.0016496555811822723
14,725.0,0.027202080659793657,25.0,0.0017254623942024108
15,775.0,0.023405113738434135,25.0,0.0014770637075665147
