,E,sigma,E_err,sigma_err
0,40.0,0.5747778030680544,10.0,0.023623816513816454
1,75.0,0.40651289808440044,25.0,0.025060518359172612
2,125.0,0.20614873954912982,25.0,0.011481551601014078
3,175.0,0.1751702667432315,25.0,0.009471086148429342
4,225.0,0.16827703386575985,25.0,0.007556361908072823
5,275.0,0.14388800093401927,25.0,0.010196982100753524
6,325.0,0.1466305397209528,25.0,0.013110924396855725
7,375.0,0.10891111002981126,25.0,0.008772335911399406
8,425.0,0.0997730330280124,25.0,0.006977157208803576
9,475.0,0.09705527919555813,25.0,0.007360045257307844
10,525.0,0.07348003310764821,25.0,0.007445326362661264
11,575.0,0.07620623975210995,25.0,0.006031198963749249
12,625.0,0.07404090405665668,25.0,0.0064392771862060855
13,675.0,0.08502582491988439,25.0,0.008537518336237539
14,725.0,0.061059030273661836,25.0,0.005569857385794057
15,775.0,0.06468853524984405,25.0,0.006881002451524735
