,E,sigma,E_err,sigma_err
0,40.0,1.0517755675445224,10.0,0.05995732337926285
1,75.0,0.7789654658203369,25.0,0.022604064289709402
2,125.0,0.27682510975933744,25.0,0.00641182987432215
3,175.0,0.18223569532005443,25.0,0.005612322693375776
4,225.0,0.1308435402223863,25.0,0.0059995524979061035
5,275.0,0.12437397038056612,25.0,0.007531724760530913
6,325.0,0.10866222049297337,25.0,0.00651844036857846
7,375.0,0.10577563823423941,25.0,0.007097961255805731
8,425.0,0.08965740616346342,25.0,0.005104504067357893
9,475.0,0.07689772790948485,25.0,0.004527308904993192
10,525.0,0.07986950982321739,25.0,0.004575683838514581
11,575.0,0.07066435937246693,25.0,0.004295151464746308
12,625.0,0.06790366770217496,25.0,0.004843649885776735
13,675.0,0.06694147457288767,25.0,0.00410065535407745
14,725.0,0.050209743222763316,25.0,0.0028800657805007762
15,775.0,0.05190170984405552,25.0,0.0031159441974568033
