,E,sigma,E_err,sigma_err
0,40.0,0.3439864086561048,10.0,0.012718343525552067
1,75.0,0.18813920360024666,25.0,0.004492806521019133
2,125.0,0.12335462958551839,25.0,0.0028783504028928528
3,175.0,0.09045446162500985,25.0,0.0036232072435100765
4,225.0,0.08839657816521695,25.0,0.005230372230100817
5,275.0,0.08879623607411104,25.0,0.004946942750776735
6,325.0,0.08495297184869037,25.0,0.005820493189216146
7,375.0,0.07163845897619088,25.0,0.004486364682655591
8,425.0,0.06505529497786657,25.0,0.00534370412787475
9,475.0,0.06866965715709099,25.0,0.004242619057398464
10,525.0,0.058379760848451076,25.0,0.0031044152612086408
11,575.0,0.06366217357219447,25.0,0.005287471172632403
12,625.0,0.06256862751064726,25.0,0.004926074867891213
13,675.0,0.050352320478241896,25.0,0.002770999160724732
14,725.0,0.04769270169257988,25.0,0.0035718496226859082
15,775.0,0.02538675312057861,25.0,0.00201858718745496
