,E,sigma,E_err,sigma_err
0,75.0,0.4408052937990896,25.0,0.02080734175657245
1,125.0,0.3396088381552078,25.0,0.02072017212915961
2,175.0,0.36654346331441023,25.0,0.025448492979601778
3,225.0,0.3834191476164347,25.0,0.02258087361838465
4,275.0,0.3269738862852531,25.0,0.0322591226396052
5,325.0,0.4327041524331912,25.0,0.06413369190761087
6,375.0,0.39995310167518583,25.0,0.03791718257357754
7,425.0,0.2695648801012275,25.0,0.028663925229086062
8,475.0,0.30853124238464097,25.0,0.047975397664749814
9,525.0,0.19371422576997624,25.0,0.017844774953194753
10,575.0,0.13622664439417043,25.0,0.016392941225540622
11,625.0,0.15333818946901784,25.0,0.013311034143459757
12,675.0,0.17131994563848543,25.0,0.016505978425431514
13,725.0,0.14835024036150685,25.0,0.010563877163733484
14,775.0,0.12957388359254626,25.0,0.013819658984381283
