,E,sigma,E_err,sigma_err
0,75.0,0.5937237493154428,25.0,0.06638487174122565
1,125.0,0.42031896241624045,25.0,0.0387711710895812
2,175.0,0.4766085834973522,25.0,0.062064801721042284
3,225.0,0.48246336500391906,25.0,0.031240732408640032
4,275.0,0.29619617991818775,25.0,0.03658223507713751
5,325.0,0.40512313353520435,25.0,0.12138699960795307
6,375.0,0.26485910937546675,25.0,0.06172955314345065
7,425.0,0.5774089881037667,25.0,0.1258895409567427
8,475.0,0.704449863552148,25.0,0.18327697640216156
9,525.0,0.6356981331362808,25.0,0.1545126426730862
10,575.0,0.8007762588828033,25.0,0.25524232096470106
11,625.0,0.48786804930040667,25.0,0.09270254231134059
12,675.0,0.5480552281285436,25.0,0.09847158342444343
13,725.0,0.37406530343390937,25.0,0.04803129723129379
14,775.0,0.3878440554559835,25.0,0.06478349633379021
