,E,sigma,E_err,sigma_err
0,75.0,0.5142129046179804,25.0,0.01545370803027557
1,125.0,0.4259645114490104,25.0,0.019868674872839553
2,175.0,0.4080302455929688,25.0,0.013739091065134379
3,225.0,0.426145206875969,25.0,0.01526325379589405
4,275.0,0.29369681307489753,25.0,0.01186528051681024
5,325.0,0.4734528077832788,25.0,0.0494026611141421
6,375.0,0.379193734572703,25.0,0.01896570090556246
7,425.0,0.36041090207086,25.0,0.015846120236302774
8,475.0,0.38827355379802336,25.0,0.01825741407722703
9,525.0,0.34285066500932365,25.0,0.015028991262256569
10,575.0,0.31277373398742747,25.0,0.04464158395411544
11,625.0,0.2069057829011872,25.0,0.01166248311618176
12,675.0,0.23121726203801882,25.0,0.013971446685345085
13,725.0,0.21315275620635118,25.0,0.011024324297969165
14,775.0,0.1969538117795412,25.0,0.014117963669911582
