,E,sigma,E_err,sigma_err
0,75.0,0.5134481853743443,25.0,0.017496457344702537
1,125.0,0.42938632403873966,25.0,0.024398086372844102
2,175.0,0.39117622431691845,25.0,0.013743968478846708
3,225.0,0.40663001921529524,25.0,0.015535900290263083
4,275.0,0.29650912663553763,25.0,0.013860761776637281
5,325.0,0.43277948598937066,25.0,0.033670415457850794
6,375.0,0.3796539172020606,25.0,0.02365414402184815
7,425.0,0.3336677333889478,25.0,0.015850901741554263
8,475.0,0.3441195663393448,25.0,0.0195763406075343
9,525.0,0.3179362486542439,25.0,0.019390292596200676
10,575.0,0.20011461579820763,25.0,0.01720716845272982
11,625.0,0.1872388904906426,25.0,0.009219883038863189
12,675.0,0.19180156216505545,25.0,0.013215639378471117
13,725.0,0.17969442494808124,25.0,0.010640479583399226
14,775.0,0.16544330850031316,25.0,0.011170482979577567
