,E,sigma,E_err,sigma_err
0,75.0,1.2354133565469916,25.0,0.044266927834125225
1,125.0,0.46371661439983897,25.0,0.017309098136999018
2,175.0,0.4505110273267719,25.0,0.018066676562339318
3,225.0,0.40616339154023673,25.0,0.015926516543583735
4,275.0,0.48195462972428704,25.0,0.03556066137159114
5,325.0,0.3735801591122923,25.0,0.017505998185126798
6,375.0,0.3634512869766699,25.0,0.013555100418539578
7,425.0,0.3784408326915903,25.0,0.02414135254179192
8,475.0,0.2986807510556233,25.0,0.01687359511774933
9,525.0,0.25054188583629766,25.0,0.011944152465768895
10,575.0,0.20332440184893777,25.0,0.009567438702551223
11,625.0,0.1806186597021776,25.0,0.007252040940640525
12,675.0,0.17928878004562304,25.0,0.0072818789126831845
13,725.0,0.17575221044745104,25.0,0.006811476892258764
14,775.0,0.15921693389618752,25.0,0.007806886846486255
