,E,sigma,E_err,sigma_err
0,75.0,1.3792604232685153,25.0,0.10004003851938315
1,125.0,0.5134599409217023,25.0,0.03992061595959226
2,175.0,0.47365656339705875,25.0,0.039456645449662264
3,225.0,0.4278244913279321,25.0,0.02844459193492216
4,275.0,0.39205180656131633,25.0,0.032883999572843436
5,325.0,0.3410211240503938,25.0,0.031798096876191395
6,375.0,0.36511587089835984,25.0,0.020306335627282318
7,425.0,0.3892334298870719,25.0,0.03488799229224762
8,475.0,0.3258261960897062,25.0,0.03400135522907541
9,525.0,0.21694488778414364,25.0,0.018073240005424415
10,575.0,0.20630051347299244,25.0,0.017649759613559815
11,625.0,0.15230000514584635,25.0,0.016333942203310386
12,675.0,0.17829120606498305,25.0,0.017762535849855016
13,725.0,0.1688743244100146,25.0,0.010481997967610776
14,775.0,0.16454981046493886,25.0,0.01560663954345659
