,E,sigma,E_err,sigma_err
0,75.0,1.5388566437248934,25.0,0.13918466365023385
1,125.0,0.39964423308149827,25.0,0.03501857534198072
2,175.0,0.2850244668571955,25.0,0.01846133260613761
3,225.0,0.37160535113372417,25.0,0.05510798214691001
4,275.0,0.30702548110761635,25.0,0.031729650172711316
5,325.0,0.33633584840337927,25.0,0.05080809003870157
6,375.0,0.40605126556852267,25.0,0.06183121059243096
7,425.0,0.33861214314874366,25.0,0.07859540272824375
8,475.0,0.286776262083944,25.0,0.026089484070355246
9,525.0,0.3029800296649974,25.0,0.04865289433906367
10,575.0,0.2609996630742896,25.0,0.0363310910506994
11,625.0,0.21636715919382543,25.0,0.028835128812749064
12,675.0,0.24285086827733665,25.0,0.03609266396578038
13,725.0,0.17419039557841917,25.0,0.021873277682300907
14,775.0,0.20020015010147,25.0,0.028225479532574052
