,E,sigma,E_err,sigma_err
0,75.0,1.0759079787073411,25.0,0.04674471172123973
1,125.0,0.46628084156055827,25.0,0.02531676929093926
2,175.0,0.4347011217879135,25.0,0.020614216103917726
3,225.0,0.3811851924964048,25.0,0.020394659948250793
4,275.0,0.4390319545323829,25.0,0.0332577003695968
5,325.0,0.4080516399899391,25.0,0.028699226163142216
6,375.0,0.33635065065732533,25.0,0.019642644440818174
7,425.0,0.34355959946653974,25.0,0.02511384957566362
8,475.0,0.27854037870217496,25.0,0.022528614690615345
9,525.0,0.23412620117216532,25.0,0.016015154504277013
10,575.0,0.19794531779492736,25.0,0.024370310831743305
11,625.0,0.1637344468772053,25.0,0.009606838718033514
12,675.0,0.13731703465697148,25.0,0.011265183217149213
13,725.0,0.14484695732115635,25.0,0.011087922671724995
14,775.0,0.11905130341226948,25.0,0.008064883590761102
