,E,sigma,E_err,sigma_err
0,40.0,0.2735564592019314,10.0,0.006304068309251509
1,75.0,0.15764779699940631,25.0,0.004107859649090356
2,125.0,0.10550168740376903,25.0,0.0029704221856301366
3,175.0,0.07849848430676734,25.0,0.0019817022799374986
4,225.0,0.05744137873849831,25.0,0.0015642226070356306
5,275.0,0.05889561583584426,25.0,0.0033476643215730358
6,325.0,0.04968127717740709,25.0,0.0026706264309637913
7,375.0,0.04648369560801898,25.0,0.0025230845174491444
8,425.0,0.04342877625998046,25.0,0.0023566903125818786
9,475.0,0.03729628053187904,25.0,0.002198476839756873
10,525.0,0.039023456572743524,25.0,0.002040110978149729
11,575.0,0.02973976842921449,25.0,0.001570819988361078
12,625.0,0.030575744791902035,25.0,0.0014549736241279247
13,675.0,0.02999157316450403,25.0,0.0018651983619604358
14,725.0,0.02956416071237303,25.0,0.0013612358555619257
15,775.0,0.028259892147770495,25.0,0.001299975651987216
