,E,sigma,E_err,sigma_err
0,40.0,0.38365399115689025,10.0,0.011548853186090724
1,75.0,0.27271154243426604,25.0,0.010116363108425785
2,125.0,0.1693511293148934,25.0,0.005557081460720301
3,175.0,0.14110929461038865,25.0,0.008235471923400378
4,225.0,0.090632256270545,25.0,0.005319847741974734
5,275.0,0.11947578837223419,25.0,0.011681072265015024
6,325.0,0.16678804888714985,25.0,0.028407125016745152
7,375.0,0.0831205352266131,25.0,0.009834314032402793
8,425.0,0.07241237362379284,25.0,0.005517407748748725
9,475.0,0.07860330500526143,25.0,0.006352425362887187
10,525.0,0.08007804855966086,25.0,0.006484521730417192
11,575.0,0.07765929137583738,25.0,0.007262388527737515
12,625.0,0.0822215595221824,25.0,0.010450433210257043
13,675.0,0.0637726169291207,25.0,0.005608760468960684
14,725.0,0.05311356566692558,25.0,0.005302772649651746
15,775.0,0.06886004068760922,25.0,0.006130404513309512
