,E,sigma,E_err,sigma_err
0,40.0,0.13475946278418402,10.0,0.005506595098150893
1,75.0,0.08989392304839418,25.0,0.0021374993690249644
2,125.0,0.07199859149359508,25.0,0.0019567725616514986
3,175.0,0.05123883028776029,25.0,0.0016464860542988492
4,225.0,0.046586698029061645,25.0,0.002619969949713235
5,275.0,0.05029800000193849,25.0,0.0032004211074676964
6,325.0,0.039277947692722345,25.0,0.0025122799145218012
7,375.0,0.034456296390010056,25.0,0.0019701252765943235
8,425.0,0.03628709143454988,25.0,0.0022984048240334357
9,475.0,0.029452696159661954,25.0,0.002227292596702308
10,525.0,0.026242221555208823,25.0,0.001610350191912864
11,575.0,0.029785795269436973,25.0,0.0022181286851719727
12,625.0,0.027572074359984072,25.0,0.001701583978462113
13,675.0,0.023647168544810273,25.0,0.0014693333237355
14,725.0,0.024163786843245914,25.0,0.0020803533822161668
15,775.0,0.020966324081181827,25.0,0.0015610793944526025
