,E,sigma,E_err,sigma_err
0,40.0,0.05178469533848809,10.0,0.001967542284333188
1,75.0,0.045085534614120466,25.0,0.0012633270291310533
2,125.0,0.0298928631282593,25.0,0.0008785232856089453
3,175.0,0.0193714574063426,25.0,0.000584102977225975
4,225.0,0.015945412707691457,25.0,0.0010411519421208793
5,275.0,0.012387609360627352,25.0,0.0006958365252895272
6,325.0,0.011041709033115526,25.0,0.0007691909969555644
7,375.0,0.011704873806178663,25.0,0.0009231054046979171
8,425.0,0.012727587135019326,25.0,0.0007026147147925817
9,475.0,0.011584406054774227,25.0,0.0008560402375966834
10,525.0,0.008437930867884216,25.0,0.0005526913656288502
11,575.0,0.0084659772328027,25.0,0.0005343189706719367
12,625.0,0.0073086598354023405,25.0,0.0004128565492634243
13,675.0,0.007753936297895162,25.0,0.0005492587160326906
14,725.0,0.008209832914078473,25.0,0.0004545975124624355
15,775.0,0.006935777070421589,25.0,0.0006102321791958847
