,E,sigma,E_err,sigma_err
0,40.0,0.2114614848602974,10.0,0.008444621325127091
1,75.0,0.1605129889471743,25.0,0.004468327850930154
2,125.0,0.11841883935825386,25.0,0.002955165481518307
3,175.0,0.08468872277322435,25.0,0.0028809398891725055
4,225.0,0.08556816794063227,25.0,0.005594614223960716
5,275.0,0.0718818018591649,25.0,0.004483259177805947
6,325.0,0.07992951638456687,25.0,0.004816923587703602
7,375.0,0.06931480478015713,25.0,0.004665213332755755
8,425.0,0.06674169701017064,25.0,0.0044323346235472655
9,475.0,0.0607297048391303,25.0,0.003965762249244827
10,525.0,0.062466275633790966,25.0,0.004539505445716706
11,575.0,0.05631077048276265,25.0,0.0037293488192294763
12,625.0,0.04471056693742225,25.0,0.004792886273552219
13,675.0,0.055035218432782605,25.0,0.00348869147748088
14,725.0,0.04560012388168768,25.0,0.0033321602680758643
15,775.0,0.043709011925208055,25.0,0.0024862059612872495
