,E,sigma,E_err,sigma_err
0,40.0,0.1442454005222717,10.0,0.005623699247231079
1,75.0,0.09632377234131559,25.0,0.002163865586679685
2,125.0,0.0715106255266688,25.0,0.0014767536339336182
3,175.0,0.05097608582563652,25.0,0.001334512345633719
4,225.0,0.04770723651000795,25.0,0.0020536310084667934
5,275.0,0.051237553575328436,25.0,0.0026833125335798923
6,325.0,0.039942028784391445,25.0,0.002027120993161973
7,375.0,0.03996523743833307,25.0,0.0019375191438018337
8,425.0,0.03509245953262239,25.0,0.001500655963217603
9,475.0,0.033204381560889486,25.0,0.001534763457528409
10,525.0,0.02700945189882395,25.0,0.0011696062470017404
11,575.0,0.02738510248483511,25.0,0.0012053228470778245
12,625.0,0.029898639581789448,25.0,0.0018928597450125102
13,675.0,0.025139813374389947,25.0,0.0013633620604536593
14,725.0,0.026854824350332575,25.0,0.0013162218017066414
15,775.0,0.02185764000458216,25.0,0.0012173017944801402
