,E,sigma,E_err,sigma_err
0,40.0,0.13300132900822806,10.0,0.00511895772354809
1,75.0,0.08943323762589245,25.0,0.0020046750881922357
2,125.0,0.0725437396964957,25.0,0.0018912337075800562
3,175.0,0.050860025317535605,25.0,0.0014366834787570108
4,225.0,0.042841434099318135,25.0,0.0022492581187723674
5,275.0,0.046783104028455924,25.0,0.0029124930607389646
6,325.0,0.036760074434800886,25.0,0.0020640459980806568
7,375.0,0.034980156453604624,25.0,0.002221387269088222
8,425.0,0.03491455288159648,25.0,0.0017525643489977524
9,475.0,0.02682612610649793,25.0,0.002076965041189047
10,525.0,0.029400796551067587,25.0,0.0019933607572593676
11,575.0,0.02662113732481935,25.0,0.0015911389104813004
12,625.0,0.02686571770092302,25.0,0.0017613489936240609
13,675.0,0.022730398119754754,25.0,0.001574028804677467
14,725.0,0.02429912982657756,25.0,0.0015920157607795492
15,775.0,0.02047619150695831,25.0,0.0015302915023907293
