,E,sigma,E_err,sigma_err
0,40.0,0.04142315612688689,10.0,0.0013089584438120277
1,75.0,0.04908339290865718,25.0,0.0015668102571298886
2,125.0,0.02396797628391861,25.0,0.0007965205866087115
3,175.0,0.01969938522431414,25.0,0.0006125135607461286
4,225.0,0.01472532368906906,25.0,0.0008734080095065162
5,275.0,0.01196840044802261,25.0,0.0007494723598660304
6,325.0,0.009162967857557793,25.0,0.0004658737514981271
7,375.0,0.010260624602345676,25.0,0.0006118274408408357
8,425.0,0.018307824222693978,25.0,0.0010457244150129507
9,475.0,0.009377237161151257,25.0,0.0005136597056704254
10,525.0,0.009834715857501976,25.0,0.0005750066137700151
11,575.0,0.0076928922731530755,25.0,0.0004349842609390831
12,625.0,0.00760965307766336,25.0,0.0003998004841020016
13,675.0,0.007845729661499396,25.0,0.0004345625466813255
14,725.0,0.008056824184226052,25.0,0.0004976132922741186
15,775.0,0.006294097645318275,25.0,0.0004177309146189334
