,E,sigma,E_err,sigma_err
0,40.0,0.1967159256272008,10.0,0.0076882776887407245
1,75.0,0.15088521213555955,25.0,0.0036659359634259037
2,125.0,0.1088742360713234,25.0,0.0023989109960849964
3,175.0,0.08357348530571106,25.0,0.0030708571305739785
4,225.0,0.0786771635666468,25.0,0.00559894064937929
5,275.0,0.07382655995091389,25.0,0.00445210158858491
6,325.0,0.07275509664458567,25.0,0.0035989315628016105
7,375.0,0.07423703756959413,25.0,0.005418604381487689
8,425.0,0.06387510946425726,25.0,0.0036048826018487724
9,475.0,0.0612191419649087,25.0,0.0035161382694107526
10,525.0,0.06288174385476702,25.0,0.0037268189036997884
11,575.0,0.05166953968979281,25.0,0.0030186583552959806
12,625.0,0.052709248575124795,25.0,0.0035076163266504895
13,675.0,0.049585914940064285,25.0,0.003056885757809394
14,725.0,0.04519436854587319,25.0,0.0021461850295186255
15,775.0,0.03793845109186671,25.0,0.0022038036039467856
