,E,sigma,E_err,sigma_err
0,40.0,0.05271623502694671,10.0,0.002062399450148685
1,75.0,0.045861169677891694,25.0,0.0012554904645413825
2,125.0,0.029863536958543154,25.0,0.0008835617057344255
3,175.0,0.019426812910519682,25.0,0.0005930446608983213
4,225.0,0.016765888933183752,25.0,0.0013776707879261585
5,275.0,0.011593718381223321,25.0,0.0007111238315042423
6,325.0,0.010504746790286165,25.0,0.0007091241915259706
7,375.0,0.011065967551318265,25.0,0.0008681297745173214
8,425.0,0.013593407656626534,25.0,0.0008865655274063813
9,475.0,0.011376657068784187,25.0,0.0008343998490621578
10,525.0,0.008090847845399218,25.0,0.000560780594931482
11,575.0,0.00865200882437118,25.0,0.0006633317759143506
12,625.0,0.0072522227877212745,25.0,0.0004923950715499574
13,675.0,0.008646530367742709,25.0,0.000943612702198757
14,725.0,0.007501923249240461,25.0,0.0004927351133189131
15,775.0,0.006799788078767628,25.0,0.0006186547697764433
