,E,sigma,E_err,sigma_err
0,75.0,0.337621275583242,25.0,0.004891786940440845
1,125.0,0.174149787697388,25.0,0.003323715650791245
2,175.0,0.14614233798344403,25.0,0.0038736178752361294
3,225.0,0.1648359149194726,25.0,0.0057949525317604195
4,275.0,0.13387079696439752,25.0,0.005525085175656003
5,325.0,0.12016676145580583,25.0,0.004027430505729103
6,375.0,0.11609543051521772,25.0,0.004162316931641909
7,425.0,0.10821881654883411,25.0,0.003829218221819676
8,475.0,0.09605624840753561,25.0,0.0031803841814684528
9,525.0,0.08816692137057947,25.0,0.0029901847785073
10,575.0,0.07726910017848333,25.0,0.0027919874234888023
11,625.0,0.07389885616261965,25.0,0.002149563089991764
12,675.0,0.06549573648891945,25.0,0.0021450481247069844
13,725.0,0.0464794891532424,25.0,0.0017723312494198687
14,775.0,0.03101659806100575,25.0,0.0016811339623932602
