,E,sigma,E_err,sigma_err
0,40.0,0.12572432906635447,10.0,0.0030771017828489025
1,75.0,0.13731296472002386,25.0,0.004682042227551864
2,125.0,0.09296973401407765,25.0,0.003069752179600496
3,175.0,0.07027833569368692,25.0,0.0018628556823094555
4,225.0,0.05202955039921085,25.0,0.0013614547771449645
5,275.0,0.05515503779972393,25.0,0.0031312976561913564
6,325.0,0.04792166295092526,25.0,0.002733180891857083
7,375.0,0.044172700870037565,25.0,0.0029022149941739864
8,425.0,0.042740157608668033,25.0,0.0026932564698974003
9,475.0,0.03573956081933128,25.0,0.0018020051616319498
10,525.0,0.03586761167083415,25.0,0.0021924906773253296
11,575.0,0.02942242178440034,25.0,0.0024949386841836407
12,625.0,0.026720326058850344,25.0,0.001392197094854046
13,675.0,0.029371206782541504,25.0,0.001795068290509516
14,725.0,0.028312738243469894,25.0,0.0014872742065514047
15,775.0,0.026060084416521485,25.0,0.001420797701969739
