,E,sigma,E_err,sigma_err
0,40.0,0.047982715199580375,10.0,0.0011811751589051178
1,75.0,0.052567551837549874,25.0,0.0016011189672495117
2,125.0,0.036444393347358696,25.0,0.0009193400255327784
3,175.0,0.026727702726517637,25.0,0.0008218708437328255
4,225.0,0.01872954268820541,25.0,0.0006707840508657307
5,275.0,0.020614132150688528,25.0,0.0015783328596744532
6,325.0,0.015415805867572515,25.0,0.0009842844963724824
7,375.0,0.016015531041711325,25.0,0.0009607632860698058
8,425.0,0.015689998862879168,25.0,0.0013644699083461553
9,475.0,0.01336476890633749,25.0,0.0008438426270017171
10,525.0,0.010388966076905206,25.0,0.0007216942149365808
11,575.0,0.010541101380413309,25.0,0.0006573828131506802
12,625.0,0.00835105146321127,25.0,0.0005655907856310649
13,675.0,0.00786936131036956,25.0,0.00047005429511907037
14,725.0,0.008095086346548536,25.0,0.0005400501752148615
15,775.0,0.009696529010327427,25.0,0.0006462174257994167
