,E,sigma,E_err,sigma_err
0,40.0,0.16906543777750818,10.0,0.012988589859082383
1,75.0,0.20284353447539286,25.0,0.01090631091724345
2,125.0,0.18005613227897613,25.0,0.009283213287743897
3,175.0,0.11560973709378754,25.0,0.0049919315248856885
4,225.0,0.09863385386534738,25.0,0.005678958482290039
5,275.0,0.1567971678241233,25.0,0.022275180575469178
6,325.0,0.1203049215262321,25.0,0.01637580940030839
7,375.0,0.09498244151316262,25.0,0.011223985291522812
8,425.0,0.07586724642666136,25.0,0.007232217958583746
9,475.0,0.07600501149458869,25.0,0.006322688019822664
10,525.0,0.08598520946017138,25.0,0.008755575118140922
11,575.0,0.07917942365013508,25.0,0.007970168451362107
12,625.0,0.0805178659176499,25.0,0.008883639324754458
13,675.0,0.07035726810347107,25.0,0.008835546197975764
14,725.0,0.06141706221146096,25.0,0.006084103433743982
15,775.0,0.0647841880414265,25.0,0.0065297102921626285
