,E,sigma,E_err,sigma_err
0,40.0,0.22120541510594327,10.0,0.010194772043773184
1,75.0,0.16559979824215051,25.0,0.005066397037747528
2,125.0,0.12531257171485208,25.0,0.003457709470053305
3,175.0,0.08772982281866028,25.0,0.0034961076796320295
4,225.0,0.09087576894213376,25.0,0.006023295949731895
5,275.0,0.07254780769573994,25.0,0.004396146945649361
6,325.0,0.08323004053267401,25.0,0.004896753005051949
7,375.0,0.07796754659881762,25.0,0.005883023157248847
8,425.0,0.07086521606239134,25.0,0.004735737006457207
9,475.0,0.06405440118499163,25.0,0.00454501500238072
10,525.0,0.06584366175759285,25.0,0.003855455796305019
11,575.0,0.06050694361010669,25.0,0.00414877026777646
12,625.0,0.0569512937611228,25.0,0.004832295016398255
13,675.0,0.05459674140679924,25.0,0.0028570974690488166
14,725.0,0.048754590745078305,25.0,0.003274446258169462
15,775.0,0.0466381921866659,25.0,0.0029810769223835507
