,E,sigma,E_err,sigma_err
0,75.0,0.1824995343041125,25.0,0.016509303373795234
1,125.0,0.28421681010915023,25.0,0.018284521465117776
2,175.0,0.19210704663375083,25.0,0.009521397422444039
3,225.0,0.1458128886033733,25.0,0.009194988216358557
4,275.0,0.20450652727746027,25.0,0.016355554307448547
5,325.0,0.2056323343395771,25.0,0.01703909548812514
6,375.0,0.19546509737235598,25.0,0.025256549266695585
7,425.0,0.12078101046285832,25.0,0.007171609564195748
8,475.0,0.1377547833562983,25.0,0.015142410703320966
9,525.0,0.09461802514982007,25.0,0.008184682584422544
10,575.0,0.08196730430477155,25.0,0.005605333054645355
11,625.0,0.09194229996211703,25.0,0.005384967549459017
12,675.0,0.08740503933642949,25.0,0.006377207973124077
13,725.0,0.0857350381997818,25.0,0.006248049549320803
14,775.0,0.06327877330317871,25.0,0.005249429395730532
