,E,sigma,E_err,sigma_err
0,75.0,0.23490692997582074,25.0,0.010776525418626781
1,125.0,0.2452425803910524,25.0,0.006328560813998657
2,175.0,0.1858137953501257,25.0,0.004224867888776795
3,225.0,0.152591961471934,25.0,0.003994550420744092
4,275.0,0.17944625517590082,25.0,0.007466888746155184
5,325.0,0.18647517062980787,25.0,0.006826288179281451
6,375.0,0.1617849836167733,25.0,0.010827040720734815
7,425.0,0.11096751019723756,25.0,0.0038357905937890444
8,475.0,0.10318224850431013,25.0,0.004888387941519648
9,525.0,0.10393855316296999,25.0,0.004171033590249444
10,575.0,0.10313560050727852,25.0,0.004218696729214252
11,625.0,0.09540776876806714,25.0,0.004300229829373045
12,675.0,0.07967777455049845,25.0,0.002898601190109547
13,725.0,0.07605072252341756,25.0,0.0029640513723434986
14,775.0,0.0723256670776823,25.0,0.003009867988932359
