,E,sigma,E_err,sigma_err
0,75.0,0.18939688432674434,25.0,0.01101777945280373
1,125.0,0.27426841470273744,25.0,0.010410298632687276
2,175.0,0.19937298297355976,25.0,0.006477097253226649
3,225.0,0.1815298595358709,25.0,0.006392345130378355
4,275.0,0.21707505756129816,25.0,0.011031711340445213
5,325.0,0.22461323486447393,25.0,0.010520795746555525
6,375.0,0.2331125225196486,25.0,0.014237907393934157
7,425.0,0.12487301278144643,25.0,0.006618785967123217
8,475.0,0.12972616594466466,25.0,0.008389464298584642
9,525.0,0.11683734360757506,25.0,0.006368900927091893
10,575.0,0.1177576620419302,25.0,0.006614860248228979
11,625.0,0.10712960477602439,25.0,0.005567122064930777
12,675.0,0.09468589271792971,25.0,0.004774741502805754
13,725.0,0.08005394755207,25.0,0.00377451635180788
14,775.0,0.07629761017153557,25.0,0.004225789507138138
