,E,sigma,E_err,sigma_err
0,75.0,0.15472777795697565,25.0,0.0145143637256481
1,125.0,0.2762649151228058,25.0,0.016049072037245926
2,175.0,0.22046809182890267,25.0,0.014458126146100203
3,225.0,0.1505813210214508,25.0,0.009455258278857598
4,275.0,0.2032025351468369,25.0,0.016706669425113063
5,325.0,0.19060848950488385,25.0,0.015018615504629962
6,375.0,0.2332647611134294,25.0,0.027655718462552534
7,425.0,0.11732781334107703,25.0,0.007719820994065353
8,475.0,0.10086982077014335,25.0,0.010094491957581171
9,525.0,0.07895291876553646,25.0,0.010245111137427182
10,575.0,0.09571040737376701,25.0,0.008788027638112483
11,625.0,0.09544710848204033,25.0,0.0060927362354110184
12,675.0,0.08196456420360282,25.0,0.0075892298571847705
13,725.0,0.08046278915954518,25.0,0.0054043457976009
14,775.0,0.06511992917324909,25.0,0.0051508088036232025
