,E,sigma,E_err,sigma_err
0,75.0,0.13616789058086323,25.0,0.009275623860584795
1,125.0,0.20854929066583888,25.0,0.010972370590713168
2,175.0,0.15964927538019133,25.0,0.009518292823798527
3,225.0,0.1271745424646417,25.0,0.004184430854121887
4,275.0,0.11043421656564224,25.0,0.0125078266877226
5,325.0,0.1299377441363965,25.0,0.01082483511703801
6,375.0,0.11533954117771446,25.0,0.008125087272820054
7,425.0,0.09482224309487419,25.0,0.006723830566515168
8,475.0,0.0702146262682697,25.0,0.005258818404048106
9,525.0,0.08147960056255169,25.0,0.005727374660674758
10,575.0,0.08560030245575653,25.0,0.006184611771261256
11,625.0,0.060288841185030695,25.0,0.003634571976640334
12,675.0,0.06324304670509429,25.0,0.0034945348474060382
13,725.0,0.056925576964017184,25.0,0.0035659656300609556
14,775.0,0.07133347918053705,25.0,0.004700665855971363
