,E,sigma,E_err,sigma_err
0,75.0,0.2091612293535589,25.0,0.007393133081755904
1,125.0,0.24872972619121275,25.0,0.005736096130186261
2,175.0,0.18125418752559247,25.0,0.004740542649521118
3,225.0,0.14289330168303258,25.0,0.00358239238774076
4,275.0,0.18945486638782516,25.0,0.007244445623439066
5,325.0,0.18267827039758405,25.0,0.006426149907626133
6,375.0,0.13872696808440643,25.0,0.007830902371189968
7,425.0,0.11353760095388309,25.0,0.004705384864514953
8,475.0,0.10525579286558044,25.0,0.00436150985238308
9,525.0,0.0979750239229551,25.0,0.004382702004449124
10,575.0,0.09707026027109057,25.0,0.003865601533987517
11,625.0,0.08928387909090163,25.0,0.003773462706558095
12,675.0,0.07865675221114186,25.0,0.00303497080712601
13,725.0,0.07537341568153981,25.0,0.0031917098885910697
14,775.0,0.07174998210275817,25.0,0.0031057851771886733
