,E,sigma,E_err,sigma_err
0,75.0,0.16259847579972164,25.0,0.010174647528906844
1,125.0,0.2665329437327327,25.0,0.008456920443412536
2,175.0,0.2026826107949882,25.0,0.007555355178431894
3,225.0,0.17070932354437435,25.0,0.006406152761226178
4,275.0,0.2056640766025553,25.0,0.009346657525572469
5,325.0,0.20903837280789886,25.0,0.008754469958754951
6,375.0,0.21512348750512067,25.0,0.012740656589517119
7,425.0,0.13989035700745298,25.0,0.008661635144079194
8,475.0,0.1223925388970176,25.0,0.00657110907005886
9,525.0,0.11037318121916707,25.0,0.007014071654160611
10,575.0,0.11246681754635279,25.0,0.006958202425206013
11,625.0,0.10280207748649578,25.0,0.005119527762682902
12,675.0,0.09279240188190953,25.0,0.00506784782451495
13,725.0,0.08215280699078811,25.0,0.004235528387512802
14,775.0,0.07870905146794285,25.0,0.0049471760634993145
